age_A,age_B,height_A,height_B,reach_A,reach_B,is_orthodox_A,is_orthodox_B,is_southpaw_A,is_southpaw_B,weight_A,weight_B,won_A,won_B,lost_A,lost_B,drawn_A,drawn_B,kos_A,kos_B,result_A,result_B,result_T
22,29,166,168,170,175,0,0,1,1,121,122,32,33,2,1,0,1,23,22,1,0,0
21,26,166,169,170,68,0,0,1,1,122,122,26,41,2,5,0,0,17,32,1,0,0
20,30,166,166,170,67,0,0,1,1,116,115,24,7,1,4,0,0,15,4,1,0,0
33,24,180,180,196,193,0,0,1,1,168,168,14,11,1,1,0,0,11,6,1,0,0
32,30,180,171,196,184,0,0,1,1,168,164,13,16,0,15,0,2,10,6,0,1,0
29,33,180,180,196,182,0,0,1,1,167,167,5,12,0,12,0,3,5,4,1,0,0
30,27,165,168,157,165,1,1,0,0,127,127,23,33,1,3,0,1,14,24,1,0,0
25,30,174,169,174,175,1,1,0,0,140,140,26,34,0,2,0,0,16,32,1,0,0
24,25,174,174,174,180,1,1,0,0,139,139,23,26,0,2,0,0,14,18,1,0,0
23,39,174,170,174,178,1,1,0,0,139,140,20,33,0,7,0,1,14,25,1,0,0
21,27,174,175,174,183,1,1,0,0,140,139,14,28,0,6,0,2,9,24,1,0,0
20,28,174,170,174,170,1,1,0,0,143,145,8,14,0,5,0,0,7,5,1,0,0
23,36,165,167,169,172,1,1,0,0,115,115,11,32,0,9,0,1,9,13,1,0,0
23,31,165,165,169,170,1,1,0,0,115,115,10,38,0,7,0,1,8,18,1,0,0
23,25,165,163,169,168,1,1,0,0,115,114,9,20,0,2,0,5,8,8,1,0,0
22,32,165,165,169,170,1,1,0,0,115,114,8,24,0,6,0,1,7,21,1,0,0
20,28,165,162,169,163,1,1,0,0,108,108,5,29,0,2,0,1,4,18,1,0,0
20,26,165,168,169,171,1,1,0,0,108,108,3,18,0,1,0,1,3,8,1,0,0
23,28,164,170,163,175,0,0,1,1,127,127,17,32,0,3,0,0,10,30,1,0,0
23,23,164,173,163,178,0,0,1,1,126,128,16,9,0,1,0,0,10,3,1,0,0
22,31,164,168,163,173,0,0,1,1,128,128,14,21,0,18,0,1,9,10,1,0,0
21,20,164,170,163,173,0,0,1,1,126,127,4,4,0,3,0,0,2,4,1,0,0
20,23,164,170,163,163,0,0,1,1,127,125,0,3,0,2,0,0,0,0,1,0,0
25,33,170,173,177,173,1,1,0,0,147,147,21,40,0,8,1,1,14,29,1,0,0
25,28,170,173,177,173,1,1,0,0,150,150,20,25,0,0,1,0,14,14,1,0,0
23,31,170,175,177,182,1,1,0,0,144,146,17,25,0,4,0,0,13,14,1,0,0
31,24,164,168,168,170,1,1,0,0,126,126,30,35,2,1,1,1,15,25,1,0,0
31,29,164,168,168,173,1,1,0,0,126,124,29,28,2,1,1,0,15,21,1,0,0
29,27,164,170,168,166,1,1,0,0,128,131,27,25,1,4,1,0,14,15,1,0,0
32,27,165,164,178,168,0,0,1,1,126,126,44,25,4,0,0,1,35,13,0,1,0
23,22,164,165,168,175,1,1,0,0,119,120,17,14,0,5,0,0,10,11,1,0,0
21,33,164,173,168,170,1,1,0,0,116,117,11,30,0,5,0,0,7,20,1,0,0
20,35,164,168,168,173,1,1,0,0,118,119,8,5,0,5,0,0,5,2,1,0,0
20,26,164,164,168,168,1,1,0,0,121,121,7,14,0,5,0,1,5,10,1,0,0
19,33,164,157,168,157,1,1,0,0,120,121,5,3,0,0,0,0,4,2,1,0,0
28,26,180,180,184,178,1,1,0,0,167,168,25,16,1,0,0,0,19,10,1,0,0
21,35,163,166,168,170,0,0,1,1,122,122,15,36,0,11,0,1,11,27,1,0,0
21,33,163,163,168,170,0,0,1,1,123,121,11,14,0,8,0,0,8,6,1,0,0
20,30,163,165,168,175,0,0,1,1,122,122,9,12,0,4,0,4,6,5,1,0,0
20,23,163,165,168,165,0,0,1,1,122,122,7,5,0,7,0,0,5,5,1,0,0
20,25,163,160,168,170,0,0,1,1,121,123,6,5,0,1,0,0,4,1,1,0,0
33,34,183,183,180,184,1,1,0,0,175,175,31,30,0,1,0,1,15,26,1,0,0
32,33,183,183,180,184,1,1,0,0,175,175,30,30,0,0,0,1,15,26,1,0,0
31,27,183,185,184,188,1,1,0,0,174,174,24,19,0,0,1,1,22,6,1,0,0
29,34,183,189,184,193,1,1,0,0,175,175,19,21,0,4,1,1,17,8,1,0,0
29,27,183,180,184,191,1,1,0,0,173,175,18,12,0,1,1,0,16,8,1,0,0
27,39,183,183,184,185,1,1,0,0,174,173,13,15,0,6,0,0,11,10,1,0,0
27,33,183,183,184,188,1,1,0,0,174,176,10,22,0,5,0,0,9,16,1,0,0
33,22,160,163,166,165,1,1,0,0,108,108,35,18,1,2,4,1,21,12,1,0,0
31,26,160,169,166,173,1,1,0,0,108,108,32,19,1,1,4,1,18,10,1,0,0
31,27,160,160,166,156,1,1,0,0,108,108,31,33,1,9,4,2,17,23,1,0,0
30,25,160,169,166,173,1,1,0,0,108,108,31,16,1,1,3,0,17,8,0,0,1
29,29,160,174,166,180,1,1,0,0,108,108,28,16,1,2,3,1,16,9,1,0,0
27,20,160,162,166,162,1,1,0,0,107,107,25,15,1,1,3,0,14,12,1,0,0
27,28,160,168,166,160,1,1,0,0,105,105,24,27,1,3,3,1,14,12,1,0,0
25,29,160,157,166,160,1,1,0,0,105,105,21,20,1,0,3,0,13,15,1,0,0
22,22,162,160,183,166,1,1,0,0,108,114,13,11,3,0,0,1,9,8,1,0,0
21,22,156,160,165,166,1,1,0,0,108,108,6,9,2,0,0,1,4,6,0,1,0
24,36,189,175,191,183,0,0,1,1,168,168,33,44,0,4,0,0,24,29,1,0,0
24,35,189,177,191,183,0,0,1,1,168,168,31,27,0,4,0,1,24,14,1,0,0
22,33,189,183,191,191,0,0,1,1,168,167,27,33,0,6,0,0,21,25,1,0,0
22,29,189,168,191,188,0,0,1,1,165,165,25,20,0,10,0,1,20,13,1,0,0
26,36,182,183,185,203,1,1,0,0,161,161,24,15,1,7,0,3,21,10,1,0,0
30,23,180,182,178,185,1,1,0,0,160,159,16,20,0,0,0,0,13,17,1,0,0
22,35,182,171,185,184,1,1,0,0,162,162,16,20,0,3,0,0,14,12,1,0,0
22,30,182,170,185,178,1,1,0,0,163,162,15,19,0,1,0,2,14,12,1,0,0
21,31,182,175,185,183,1,1,0,0,162,165,12,14,0,3,0,0,11,3,1,0,0
21,23,182,188,185,196,1,1,0,0,163,158,4,5,0,7,0,0,4,3,1,0,0
20,36,182,170,185,198,1,1,0,0,163,160,1,1,0,1,0,0,1,1,1,0,0
20,24,182,173,185,178,1,1,0,0,163,161,0,1,0,1,0,0,0,1,1,0,0
42,25,168,183,183,187,1,1,0,0,153,153,34,21,5,0,0,0,19,16,0,1,0
24,23,183,180,187,180,1,1,0,0,157,155,20,12,0,2,0,1,16,10,1,0,0
24,37,183,174,187,180,1,1,0,0,154,154,19,22,0,2,0,0,15,9,1,0,0
23,35,183,173,187,177,1,1,0,0,158,158,17,22,0,12,0,1,13,14,1,0,0
19,21,183,183,187,196,1,1,0,0,150,150,5,3,0,5,0,1,2,3,1,0,0
28,33,168,170,173,178,1,1,0,0,138,139,34,24,0,2,0,0,28,14,1,0,0
22,26,168,168,173,163,1,1,0,0,126,126,20,22,0,6,0,5,17,14,1,0,0
