age_A,age_B,height_A,height_B,reach_A,reach_B,is_orthodox_A,is_orthodox_B,is_southpaw_A,is_southpaw_B,weight_A,weight_B,won_A,won_B,lost_A,lost_B,drawn_A,drawn_B,kos_A,kos_B,result
0.6206896551724138,0.4,0.4137931034482758,0.4509803921568625,0.40625,0.7979274611398964,1.0,1.0,0.0,0.0,0.3179190751445087,0.26415094339622636,0.45121951219512196,0.6533333333333333,0.0,0.022727272727272728,0.0,0.14285714285714285,0.66,0.6938775510204082,0.0
0.31034482758620696,0.5333333333333332,0.34482758620689635,0.6470588235294117,0.421875,0.8290155440414508,1.0,1.0,0.0,0.0,0.34104046242774566,0.28301886792452824,0.5853658536585367,0.6666666666666667,0.058823529411764705,0.045454545454545456,0.16666666666666666,0.14285714285714285,0.68,0.6530612244897959,0.5
0.27586206896551724,0.4666666666666667,0.34482758620689635,0.43137254901960764,0.421875,0.8031088082901554,1.0,1.0,0.0,0.0,0.2890173410404624,0.24056603773584906,0.5609756097560976,0.4133333333333334,0.058823529411764705,0.06818181818181818,0.16666666666666666,0.0,0.64,0.3877551020408163,0.5
0.206896551724138,0.5333333333333332,0.34482758620689635,0.4509803921568625,0.421875,0.844559585492228,1.0,1.0,0.0,0.0,0.2890173410404624,0.24056603773584906,0.524390243902439,0.25333333333333335,0.058823529411764705,0.022727272727272728,0.16666666666666666,0.2857142857142857,0.62,0.24489795918367346,0.5
0.1724137931034483,0.43333333333333335,0.34482758620689635,0.4901960784313726,0.421875,0.7772020725388601,1.0,1.0,0.0,0.0,0.2832369942196532,0.23113207547169812,0.4878048780487805,0.4,0.0,0.09090909090909091,0.16666666666666666,0.0,0.58,0.36734693877551017,0.5
0.13793103448275867,0.8333333333333333,0.34482758620689635,0.43137254901960764,0.421875,0.8031088082901554,1.0,1.0,0.0,0.0,0.2832369942196532,0.23584905660377353,0.475609756097561,0.6133333333333334,0.0,0.1590909090909091,0.16666666666666666,0.14285714285714285,0.58,0.7959183673469387,0.5
0.13793103448275867,0.5666666666666667,0.34482758620689635,0.5490196078431371,0.421875,0.844559585492228,1.0,1.0,0.0,0.0,0.2832369942196532,0.23584905660377353,0.4634146341463415,0.44,0.0,0.09090909090909091,0.16666666666666666,0.14285714285714285,0.56,0.5714285714285714,0.5
0.06896551724137934,0.5666666666666667,0.34482758620689635,0.2941176470588234,0.421875,0.766839378238342,1.0,1.0,0.0,0.0,0.2601156069364162,0.21226415094339623,0.3780487804878049,0.4133333333333334,0.0,0.022727272727272728,0.16666666666666666,0.14285714285714285,0.46,0.4693877551020408,0.5
0.034482758620689724,0.3666666666666667,0.34482758620689635,0.5490196078431371,0.421875,0.844559585492228,1.0,1.0,0.0,0.0,0.24277456647398843,0.2028301886792453,0.3048780487804878,0.3066666666666667,0.0,0.045454545454545456,0.16666666666666666,0.0,0.36,0.42857142857142855,0.5
0.034482758620689724,0.43333333333333335,0.34482758620689635,0.4117647058823528,0.421875,0.8186528497409327,1.0,1.0,0.0,0.0,0.24277456647398843,0.2028301886792453,0.2682926829268293,0.21333333333333335,0.0,0.022727272727272728,0.16666666666666666,0.0,0.3,0.3061224489795918,0.5
0.4137931034482759,0.6333333333333333,0.31034482758620685,0.5294117647058822,0.40625,0.8082901554404145,1.0,1.0,0.0,0.0,0.20231213872832365,0.16509433962264153,0.3780487804878049,0.29333333333333333,0.0,0.0,0.0,0.0,0.44,0.22448979591836732,0.5
0.4137931034482759,0.6000000000000001,0.31034482758620685,0.5294117647058822,0.40625,0.8031088082901554,1.0,1.0,0.0,0.0,0.19653179190751446,0.1839622641509434,0.3536585365853659,0.3866666666666667,0.0,0.13636363636363635,0.0,0.0,0.4,0.4693877551020408,0.5
0.3793103448275862,0.6000000000000001,0.31034482758620685,0.33333333333333304,0.40625,0.8186528497409327,1.0,1.0,0.0,0.0,0.20231213872832365,0.16981132075471694,0.3170731707317073,0.3866666666666667,0.0,0.022727272727272728,0.0,0.0,0.36,0.4081632653061224,0.5
0.3448275862068966,0.6000000000000001,0.31034482758620685,0.4117647058823528,0.40625,0.766839378238342,1.0,1.0,0.0,0.0,0.17341040462427748,0.14150943396226412,0.29268292682926833,0.3866666666666667,0.0,0.13636363636363635,0.0,0.14285714285714285,0.34,0.3469387755102041,0.5
0.206896551724138,0.5,0.31034482758620685,0.2549019607843137,0.40625,0.7409326424870466,1.0,1.0,0.0,0.0,0.19653179190751446,0.16509433962264153,0.15853658536585366,0.26666666666666666,0.0,0.25,0.0,0.0,0.2,0.22448979591836732,0.5
0.1724137931034483,0.4666666666666667,0.31034482758620685,0.3529411764705883,0.40625,0.7461139896373057,1.0,1.0,0.0,0.0,0.18497109826589597,0.1556603773584906,0.0975609756097561,0.12000000000000001,0.0,0.3181818181818182,0.0,0.14285714285714285,0.1,0.12244897959183673,0.5
0.5517241379310346,0.43333333333333335,0.4137931034482758,0.5098039215686274,0.40625,0.844559585492228,1.0,1.0,0.0,0.0,0.3121387283236994,0.26415094339622636,0.3902439024390244,0.25333333333333335,0.0,0.022727272727272728,0.0,0.0,0.58,0.12244897959183673,0.5
0.48275862068965514,0.5333333333333332,0.4137931034482758,0.5098039215686274,0.40625,0.8031088082901554,1.0,1.0,0.0,0.0,0.3121387283236994,0.25943396226415094,0.3170731707317073,0.3866666666666667,0.0,0.09090909090909091,0.0,0.0,0.46,0.4081632653061224,0.5
